character,category,base_species,species_id_PROVISIONAL,keep(Y/n)
Archer,villain,SPECIES_PARAS,46,Y
Archer,villain,SPECIES_MEOWTH,52,Y
Archer,villain,SPECIES_BELLSPROUT,69,Y
Archer,villain,SPECIES_GRIMER,88,Y
Archer,villain,SPECIES_DROWZEE,96,Y
Archer,villain,SPECIES_VOLTORB,100,Y
Archer,villain,SPECIES_KOFFING,109,Y
Archer,villain,SPECIES_MISDREAVUS,200,Y
Archer,villain,SPECIES_REMORAID,223,Y
Archer,villain,SPECIES_HOUNDOUR,228,Y
Archer,villain,SPECIES_MAGBY,240,Y
Archer,villain,SPECIES_LARVITAR,246,Y
Archer,villain,SPECIES_WYNAUT,360,Y
Archie,villain,SPECIES_ZUBAT,41,Y
Archie,villain,SPECIES_TENTACOOL,72,Y
Archie,villain,SPECIES_GRIMER,88,Y
Archie,villain,SPECIES_POOCHYENA,286,Y
Archie,villain,SPECIES_CARVANHA,330,Y
Archie,villain,SPECIES_SPHEAL,341,Y
Archie,villain,SPECIES_KYOGRE,404,Y
Ariana,villain,SPECIES_RATTATA,19,Y
Ariana,villain,SPECIES_EKANS,23,Y
Ariana,villain,SPECIES_ZUBAT,41,Y
Ariana,villain,SPECIES_ODDISH,43,Y
Ariana,villain,SPECIES_BELLSPROUT,69,Y
Ariana,villain,SPECIES_GRIMER,88,Y
Ariana,villain,SPECIES_DROWZEE,96,Y
Ariana,villain,SPECIES_LICKITUNG,108,Y
Ariana,villain,SPECIES_KABUTO,140,Y
Ariana,villain,SPECIES_MURKROW,198,Y
Ariana,villain,SPECIES_SNEASEL,215,Y
Ariana,villain,SPECIES_SLUGMA,218,Y
Ash,anime,SPECIES_BULBASAUR,1,Y
Ash,anime,SPECIES_CHARMANDER,4,Y
Ash,anime,SPECIES_SQUIRTLE,7,Y
Ash,anime,SPECIES_CATERPIE,10,Y
Ash,anime,SPECIES_PIDGEY,16,Y
Ash,anime,SPECIES_RATTATA,19,Y
Ash,anime,SPECIES_MANKEY,56,Y
Ash,anime,SPECIES_GRIMER,88,Y
Ash,anime,SPECIES_GASTLY,92,Y
Ash,anime,SPECIES_KRABBY,98,Y
Ash,anime,SPECIES_TAUROS,128,Y
Ash,anime,SPECIES_LAPRAS,131,Y
Ash,anime,SPECIES_DRATINI,147,Y
Ash,anime,SPECIES_CHIKORITA,152,Y
Ash,anime,SPECIES_CYNDAQUIL,155,Y
Ash,anime,SPECIES_TOTODILE,158,Y
Ash,anime,SPECIES_HOOTHOOT,163,Y
Ash,anime,SPECIES_PICHU,172,Y
Ash,anime,SPECIES_AIPOM,190,Y
Ash,anime,SPECIES_GLIGAR,207,Y
Ash,anime,SPECIES_HERACROSS,214,Y
Ash,anime,SPECIES_PHANPY,231,Y
Ash,anime,SPECIES_LARVITAR,246,Y
Ash,anime,SPECIES_TREECKO,277,Y
Ash,anime,SPECIES_TAILLOW,304,Y
Ash,anime,SPECIES_TORKOAL,321,Y
Ash,anime,SPECIES_CORPHISH,326,Y
Ash,anime,SPECIES_SNORUNT,346,Y
Ash,anime,SPECIES_TURTWIG,440,Y
Ash,anime,SPECIES_CHIMCHAR,443,Y
Ash,anime,SPECIES_STARLY,449,Y
Ash,anime,SPECIES_BUIZEL,471,Y
Ash,anime,SPECIES_MIME_JR,492,Y
Ash,anime,SPECIES_MUNCHLAX,499,Y
Ash,anime,SPECIES_RIOLU,500,Y
Ash,anime,SPECIES_SNIVY,548,Y
Ash,anime,SPECIES_TEPIG,551,Y
Ash,anime,SPECIES_OSHAWOTT,554,Y
Ash,anime,SPECIES_PIDOVE,572,Y
Ash,anime,SPECIES_ROGGENROLA,577,Y
Ash,anime,SPECIES_TYMPOLE,588,Y
Ash,anime,SPECIES_SEWADDLE,593,Y
Ash,anime,SPECIES_SANDILE,604,Y
Ash,anime,SPECIES_SCRAGGY,612,Y
Ash,anime,SPECIES_FROAKIE,764,Y
Ash,anime,SPECIES_HAWLUCHA,809,Y
Ash,anime,SPECIES_GOOMY,812,Y
Ash,anime,SPECIES_NOIBAT,822,Y
Ash,anime,SPECIES_ROWLET,939,Y
Ash,anime,SPECIES_LITTEN,942,Y
Ash,anime,SPECIES_ROCKRUFF,961,Y
Ash,anime,SPECIES_COSMOG,1006,Y
Ash,anime,SPECIES_POIPOLE,1074,Y
Ash,anime,SPECIES_MELTAN,1083,Y
Ash,anime,SPECIES_DRACOVISH,1174,Y
Ash,anime,SPECIES_FARFETCHD_G,1217,Y
Barry,rival,SPECIES_PONYTA,77,Y
Barry,rival,SPECIES_HERACROSS,214,Y
Barry,rival,SPECIES_SKARMORY,227,Y
Barry,rival,SPECIES_TYROGUE,236,Y
Barry,rival,SPECIES_TURTWIG,440,Y
Barry,rival,SPECIES_CHIMCHAR,443,Y
Barry,rival,SPECIES_PIPLUP,446,Y
Barry,rival,SPECIES_STARLY,449,Y
Barry,rival,SPECIES_BUDEW,459,Y
Barry,rival,SPECIES_BUIZEL,471,Y
Barry,rival,SPECIES_MUNCHLAX,499,Y
Bea,gymleader,SPECIES_MACHOP,66,Y
Bea,gymleader,SPECIES_TYROGUE,236,Y
Bea,gymleader,SPECIES_THROH,591,Y
Bea,gymleader,SPECIES_SAWK,592,Y
Bea,gymleader,SPECIES_SCRAGGY,612,Y
Bea,gymleader,SPECIES_VANILLITE,635,Y
Bea,gymleader,SPECIES_PANCHAM,782,Y
Bea,gymleader,SPECIES_HAWLUCHA,809,Y
Bea,gymleader,SPECIES_CLOBBOPUS,1144,Y
Bea,gymleader,SPECIES_FALINKS,1162,Y
Bea,gymleader,SPECIES_FARFETCHD_G,1217,Y
Bede,rival,SPECIES_PONYTA,77,Y
Bede,rival,SPECIES_EEVEE,133,Y
Bede,rival,SPECIES_ARTICUNO,144,Y
Bede,rival,SPECIES_MAWILE,355,Y
Bede,rival,SPECIES_RALTS,392,Y
Bede,rival,SPECIES_REGIROCK,401,Y
Bede,rival,SPECIES_REGICE,402,Y
Bede,rival,SPECIES_REGISTEEL,403,Y
Bede,rival,SPECIES_GOTHITA,627,Y
Bede,rival,SPECIES_SOLOSIS,630,Y
Bede,rival,SPECIES_SOBBLE,1108,Y
Bede,rival,SPECIES_HATENNA,1148,Y
Beni,villain,SPECIES_MAGNEMITE,81,Y
Beni,villain,SPECIES_MISDREAVUS,200,Y
Beni,villain,SPECIES_RALTS,392,Y
Beni,villain,SPECIES_BUDEW,459,Y
Beni,villain,SPECIES_SNEASEL_H,1240,Y
Bertha,elite4,SPECIES_NIDORAN_M,32,Y
Bertha,elite4,SPECIES_GEODUDE,74,Y
Bertha,elite4,SPECIES_ONIX,95,Y
Bertha,elite4,SPECIES_RHYHORN,111,Y
Bertha,elite4,SPECIES_WOOPER,194,Y
Bertha,elite4,SPECIES_GLIGAR,207,Y
Bertha,elite4,SPECIES_SWINUB,220,Y
Bertha,elite4,SPECIES_PHANPY,231,Y
Bertha,elite4,SPECIES_BARBOACH,323,Y
Bertha,elite4,SPECIES_BONSLY,491,Y
Bertha,elite4,SPECIES_HIPPOPOTAS,502,Y
Bianca,rival,SPECIES_SNIVY,548,Y
Bianca,rival,SPECIES_TEPIG,551,Y
Bianca,rival,SPECIES_OSHAWOTT,554,Y
Bianca,rival,SPECIES_LILLIPUP,559,Y
Bianca,rival,SPECIES_PURRLOIN,562,Y
Bianca,rival,SPECIES_PANSAGE,564,Y
Bianca,rival,SPECIES_PANSEAR,566,Y
Bianca,rival,SPECIES_PANPOUR,568,Y
Bianca,rival,SPECIES_MUNNA,570,Y
Bianca,rival,SPECIES_AUDINO,584,Y
Bianca,rival,SPECIES_MINCCINO,625,Y
Bianca,rival,SPECIES_KARRABLAST,641,Y
Bianca,rival,SPECIES_LITWICK,660,Y
Bianca,rival,SPECIES_AXEW,663,Y
Bianca,rival,SPECIES_SHELMET,669,Y
Bianca,rival,SPECIES_MIENFOO,672,Y
Bianca,rival,SPECIES_VIRIZION,693,Y
Birch,professor,SPECIES_MAGIKARP,129,Y
Birch,professor,SPECIES_CHIKORITA,152,Y
Birch,professor,SPECIES_CYNDAQUIL,155,Y
Birch,professor,SPECIES_TOTODILE,158,Y
Birch,professor,SPECIES_TREECKO,277,Y
Birch,professor,SPECIES_TORCHIC,280,Y
Birch,professor,SPECIES_MUDKIP,283,Y
Birch,professor,SPECIES_ZIGZAGOON,288,Y
Birch,professor,SPECIES_LOTAD,295,Y
Birch,professor,SPECIES_SEEDOT,298,Y
Birch,professor,SPECIES_SHROOMISH,306,Y
Birch,professor,SPECIES_WAILMER,313,Y
Birch,professor,SPECIES_CARVANHA,330,Y
Birch,professor,SPECIES_TROPIUS,369,Y
Birch,professor,SPECIES_ARON,382,Y
Birch,professor,SPECIES_TURTWIG,440,Y
Birch,professor,SPECIES_CHIMCHAR,443,Y
Birch,professor,SPECIES_PIPLUP,446,Y
Birch,professor,SPECIES_SNIVY,548,Y
Birch,professor,SPECIES_TEPIG,551,Y
Birch,professor,SPECIES_OSHAWOTT,554,Y
Blaine,gymleader,SPECIES_CHARMANDER,4,Y
Blaine,gymleader,SPECIES_VULPIX,37,Y
Blaine,gymleader,SPECIES_ODDISH,43,Y
Blaine,gymleader,SPECIES_PARAS,46,Y
Blaine,gymleader,SPECIES_MEOWTH,52,Y
Blaine,gymleader,SPECIES_MANKEY,56,Y
Blaine,gymleader,SPECIES_GROWLITHE,58,Y
Blaine,gymleader,SPECIES_GEODUDE,74,Y
Blaine,gymleader,SPECIES_PONYTA,77,Y
Blaine,gymleader,SPECIES_VOLTORB,100,Y
Blaine,gymleader,SPECIES_RHYHORN,111,Y
Blaine,gymleader,SPECIES_TANGELA,114,Y
Blaine,gymleader,SPECIES_KANGASKHAN,115,Y
Blaine,gymleader,SPECIES_EEVEE,133,Y
Blaine,gymleader,SPECIES_ARTICUNO,144,Y
Blaine,gymleader,SPECIES_MOLTRES,146,Y
Blaine,gymleader,SPECIES_CLEFFA,173,Y
Blaine,gymleader,SPECIES_SLUGMA,218,Y
Blaine,gymleader,SPECIES_REMORAID,223,Y
Blaine,gymleader,SPECIES_HOUNDOUR,228,Y
Blaine,gymleader,SPECIES_MAGBY,240,Y
Blaine,gymleader,SPECIES_TORKOAL,321,Y
Blaine,gymleader,SPECIES_NUMEL,339,Y
Blaine,gymleader,SPECIES_MIME_JR,492,Y
Blaine,gymleader,SPECIES_HAPPINY,493,Y
Blaine,gymleader,SPECIES_ROTOM,532,Y
Blue,champion,SPECIES_BULBASAUR,1,Y
Blue,champion,SPECIES_CHARMANDER,4,Y
Blue,champion,SPECIES_SQUIRTLE,7,Y
Blue,champion,SPECIES_PIDGEY,16,Y
Blue,champion,SPECIES_SANDSHREW,27,Y
Blue,champion,SPECIES_VULPIX,37,Y
Blue,champion,SPECIES_GROWLITHE,58,Y
Blue,champion,SPECIES_ABRA,63,Y
Blue,champion,SPECIES_MACHOP,66,Y
Blue,champion,SPECIES_SLOWPOKE,79,Y
Blue,champion,SPECIES_MAGNEMITE,81,Y
Blue,champion,SPECIES_SHELLDER,90,Y
Blue,champion,SPECIES_GASTLY,92,Y
Blue,champion,SPECIES_EXEGGCUTE,102,Y
Blue,champion,SPECIES_RHYHORN,111,Y
Blue,champion,SPECIES_HORSEA,116,Y
Blue,champion,SPECIES_SCYTHER,123,Y
Blue,champion,SPECIES_PINSIR,127,Y
Blue,champion,SPECIES_TAUROS,128,Y
Blue,champion,SPECIES_MAGIKARP,129,Y
Blue,champion,SPECIES_EEVEE,133,Y
Blue,champion,SPECIES_AERODACTYL,142,Y
Blue,champion,SPECIES_ZAPDOS,145,Y
Blue,champion,SPECIES_CLEFFA,173,Y
Blue,champion,SPECIES_HERACROSS,214,Y
Blue,champion,SPECIES_SWINUB,220,Y
Blue,champion,SPECIES_HOUNDOUR,228,Y
Blue,champion,SPECIES_ELEKID,239,Y
Blue,champion,SPECIES_MILTANK,241,Y
Blue,champion,SPECIES_LARVITAR,246,Y
Brandon,frontier,SPECIES_ARTICUNO,144,Y
Brandon,frontier,SPECIES_ZAPDOS,145,Y
Brandon,frontier,SPECIES_MOLTRES,146,Y
Brandon,frontier,SPECIES_NINCADA,301,Y
Brandon,frontier,SPECIES_SOLROCK,349,Y
Brandon,frontier,SPECIES_DUSKULL,361,Y
Brandon,frontier,SPECIES_REGIROCK,401,Y
Brandon,frontier,SPECIES_REGICE,402,Y
Brandon,frontier,SPECIES_REGISTEEL,403,Y
Brandon,frontier,SPECIES_REGIGIGAS,539,Y
Brassius,anime,SPECIES_ODDISH,43,Y
Brassius,anime,SPECIES_SUNKERN,191,Y
Brassius,anime,SPECIES_SHROOMISH,306,Y
Brassius,anime,SPECIES_BONSLY,491,Y
Brassius,anime,SPECIES_PETILIL,601,Y
Brassius,anime,SPECIES_BOUNSWEET,978,Y
Brawly,gymleader,SPECIES_MACHOP,66,Y
Brawly,gymleader,SPECIES_HERACROSS,214,Y
Brawly,gymleader,SPECIES_TYROGUE,236,Y
Brawly,gymleader,SPECIES_SHROOMISH,306,Y
Brawly,gymleader,SPECIES_SABLEYE,322,Y
Brawly,gymleader,SPECIES_MAKUHITA,335,Y
Brawly,gymleader,SPECIES_MEDITITE,356,Y
Brawly,gymleader,SPECIES_SCRAGGY,612,Y
Brawly,gymleader,SPECIES_MIENFOO,672,Y
Brendan,protagonist,SPECIES_RHYHORN,111,Y
Brendan,protagonist,SPECIES_PICHU,172,Y
Brendan,protagonist,SPECIES_SLUGMA,218,Y
Brendan,protagonist,SPECIES_TREECKO,277,Y
Brendan,protagonist,SPECIES_TORCHIC,280,Y
Brendan,protagonist,SPECIES_MUDKIP,283,Y
Brendan,protagonist,SPECIES_LOTAD,295,Y
Brendan,protagonist,SPECIES_SEEDOT,298,Y
Brendan,protagonist,SPECIES_TAILLOW,304,Y
Brendan,protagonist,SPECIES_SHROOMISH,306,Y
Brendan,protagonist,SPECIES_WINGULL,309,Y
Brendan,protagonist,SPECIES_WAILMER,313,Y
Brendan,protagonist,SPECIES_BALTOY,318,Y
Brendan,protagonist,SPECIES_NUMEL,339,Y
Brendan,protagonist,SPECIES_TROPIUS,369,Y
Brendan,protagonist,SPECIES_WHISMUR,370,Y
Brendan,protagonist,SPECIES_ARON,382,Y
Brendan,protagonist,SPECIES_GROUDON,405,Y
Brendan,protagonist,SPECIES_LATIOS,408,Y
Brock,gymleader,SPECIES_VULPIX,37,Y
Brock,gymleader,SPECIES_ZUBAT,41,Y
Brock,gymleader,SPECIES_ODDISH,43,Y
Brock,gymleader,SPECIES_DIGLETT,50,Y
Brock,gymleader,SPECIES_GEODUDE,74,Y
Brock,gymleader,SPECIES_SLOWPOKE,79,Y
Brock,gymleader,SPECIES_ONIX,95,Y
Brock,gymleader,SPECIES_CUBONE,104,Y
Brock,gymleader,SPECIES_RHYHORN,111,Y
Brock,gymleader,SPECIES_PINSIR,127,Y
Brock,gymleader,SPECIES_OMANYTE,138,Y
Brock,gymleader,SPECIES_KABUTO,140,Y
Brock,gymleader,SPECIES_AERODACTYL,142,Y
Brock,gymleader,SPECIES_PICHU,172,Y
Brock,gymleader,SPECIES_PINECO,204,Y
Brock,gymleader,SPECIES_SHUCKLE,213,Y
Brock,gymleader,SPECIES_HERACROSS,214,Y
Brock,gymleader,SPECIES_TEDDIURSA,216,Y
Brock,gymleader,SPECIES_LARVITAR,246,Y
Brock,gymleader,SPECIES_MUDKIP,283,Y
Brock,gymleader,SPECIES_LOTAD,295,Y
Brock,gymleader,SPECIES_RELICANTH,381,Y
Brock,gymleader,SPECIES_CRANIDOS,461,Y
Brock,gymleader,SPECIES_BONSLY,491,Y
Brock,gymleader,SPECIES_HAPPINY,493,Y
Brock,gymleader,SPECIES_CROAGUNK,506,Y
Brock,gymleader,SPECIES_COMFEY,981,Y
Bruno,elite4,SPECIES_SQUIRTLE,7,Y
Bruno,elite4,SPECIES_MANKEY,56,Y
Bruno,elite4,SPECIES_POLIWAG,60,Y
Bruno,elite4,SPECIES_MACHOP,66,Y
Bruno,elite4,SPECIES_GEODUDE,74,Y
Bruno,elite4,SPECIES_SLOWPOKE,79,Y
Bruno,elite4,SPECIES_GRIMER,88,Y
Bruno,elite4,SPECIES_SHELLDER,90,Y
Bruno,elite4,SPECIES_ONIX,95,Y
Bruno,elite4,SPECIES_EXEGGCUTE,102,Y
Bruno,elite4,SPECIES_RHYHORN,111,Y
Bruno,elite4,SPECIES_KANGASKHAN,115,Y
Bruno,elite4,SPECIES_CLEFFA,173,Y
Bruno,elite4,SPECIES_SNUBBULL,209,Y
Bruno,elite4,SPECIES_HERACROSS,214,Y
Bruno,elite4,SPECIES_TEDDIURSA,216,Y
Bruno,elite4,SPECIES_TYROGUE,236,Y
Bruno,elite4,SPECIES_MAKUHITA,335,Y
Bruno,elite4,SPECIES_RIOLU,500,Y
Brycen,gymleader,SPECIES_SEEL,86,Y
Brycen,gymleader,SPECIES_SNEASEL,215,Y
Brycen,gymleader,SPECIES_SPHEAL,341,Y
Brycen,gymleader,SPECIES_ZORUA,623,Y
Brycen,gymleader,SPECIES_VANILLITE,635,Y
Brycen,gymleader,SPECIES_CUBCHOO,666,Y
Brycen,gymleader,SPECIES_CRYOGONAL,668,Y
Bugsy,gymleader,SPECIES_CATERPIE,10,Y
Bugsy,gymleader,SPECIES_WEEDLE,13,Y
Bugsy,gymleader,SPECIES_RATTATA,19,Y
Bugsy,gymleader,SPECIES_BELLSPROUT,69,Y
Bugsy,gymleader,SPECIES_SCYTHER,123,Y
Bugsy,gymleader,SPECIES_PINSIR,127,Y
Bugsy,gymleader,SPECIES_SPINARAK,167,Y
Bugsy,gymleader,SPECIES_YANMA,193,Y
Bugsy,gymleader,SPECIES_WOOPER,194,Y
Bugsy,gymleader,SPECIES_UNOWN,201,Y
Bugsy,gymleader,SPECIES_PINECO,204,Y
Bugsy,gymleader,SPECIES_SHUCKLE,213,Y
Bugsy,gymleader,SPECIES_HERACROSS,214,Y
Bugsy,gymleader,SPECIES_LARVITAR,246,Y
Bugsy,gymleader,SPECIES_NINCADA,301,Y
Bugsy,gymleader,SPECIES_ANORITH,390,Y
Bugsy,gymleader,SPECIES_KRICKETOT,454,Y
Bugsy,gymleader,SPECIES_COMBEE,468,Y
Bugsy,gymleader,SPECIES_BONSLY,491,Y
Burgh,gymleader,SPECIES_TOGEPI,175,Y
Burgh,gymleader,SPECIES_HERACROSS,214,Y
Burgh,gymleader,SPECIES_COMBEE,468,Y
Burgh,gymleader,SPECIES_SEWADDLE,593,Y
Burgh,gymleader,SPECIES_VENIPEDE,596,Y
Burgh,gymleader,SPECIES_DWEBBLE,610,Y
Burgh,gymleader,SPECIES_KARRABLAST,641,Y
Burgh,gymleader,SPECIES_SHELMET,669,Y
Burgh,gymleader,SPECIES_DURANT,685,Y
Burnet,professor,SPECIES_MUNCHLAX,499,Y
Byron,gymleader,SPECIES_MAGNEMITE,81,Y
Byron,gymleader,SPECIES_ONIX,95,Y
Byron,gymleader,SPECIES_SCYTHER,123,Y
Byron,gymleader,SPECIES_OMANYTE,138,Y
Byron,gymleader,SPECIES_KABUTO,140,Y
Byron,gymleader,SPECIES_MOLTRES,146,Y
Byron,gymleader,SPECIES_PINECO,204,Y
Byron,gymleader,SPECIES_SKARMORY,227,Y
Byron,gymleader,SPECIES_WINGULL,309,Y
Byron,gymleader,SPECIES_ARON,382,Y
Byron,gymleader,SPECIES_LILEEP,388,Y
Byron,gymleader,SPECIES_ANORITH,390,Y
Byron,gymleader,SPECIES_BELDUM,398,Y
Byron,gymleader,SPECIES_PIPLUP,446,Y
Byron,gymleader,SPECIES_SHIELDON,463,Y
Byron,gymleader,SPECIES_BRONZOR,489,Y
Byron,gymleader,SPECIES_HEATRAN,538,Y
Byron,gymleader,SPECIES_DRILBUR,582,Y
Caitlin,elite4,SPECIES_ABRA,63,Y
Caitlin,elite4,SPECIES_SABLEYE,322,Y
Caitlin,elite4,SPECIES_RALTS,392,Y
Caitlin,elite4,SPECIES_BELDUM,398,Y
Caitlin,elite4,SPECIES_BRONZOR,489,Y
Caitlin,elite4,SPECIES_MUNNA,570,Y
Caitlin,elite4,SPECIES_SIGILYPH,614,Y
Caitlin,elite4,SPECIES_GOTHITA,627,Y
Caitlin,elite4,SPECIES_SOLOSIS,630,Y
Calem,anime,SPECIES_CHARMANDER,4,Y
Calem,anime,SPECIES_EEVEE,133,Y
Calem,anime,SPECIES_CLEFFA,173,Y
Calem,anime,SPECIES_SWABLU,358,Y
Calem,anime,SPECIES_ABSOL,376,Y
Calem,anime,SPECIES_CHESPIN,758,Y
Calem,anime,SPECIES_FENNEKIN,761,Y
Calem,anime,SPECIES_FROAKIE,764,Y
Calem,anime,SPECIES_BUNNELBY,767,Y
Calem,anime,SPECIES_FLETCHLING,769,Y
Calem,anime,SPECIES_ESPURR,785,Y
Calem,anime,SPECIES_XERNEAS,824,Y
Calem,anime,SPECIES_YVELTAL,825,Y
Candice,gymleader,SPECIES_DODUO,84,Y
Candice,gymleader,SPECIES_EEVEE,133,Y
Candice,gymleader,SPECIES_SNEASEL,215,Y
Candice,gymleader,SPECIES_SWINUB,220,Y
Candice,gymleader,SPECIES_SMOOCHUM,238,Y
Candice,gymleader,SPECIES_SNORUNT,346,Y
Candice,gymleader,SPECIES_MEDITITE,356,Y
Candice,gymleader,SPECIES_REGIROCK,401,Y
Candice,gymleader,SPECIES_REGICE,402,Y
Candice,gymleader,SPECIES_REGISTEEL,403,Y
Candice,gymleader,SPECIES_SNOVER,512,Y
Candice,gymleader,SPECIES_DARUMAKA,607,Y
Cerise,professor,SPECIES_BULBASAUR,1,Y
Cerise,professor,SPECIES_CHARMANDER,4,Y
Cerise,professor,SPECIES_SQUIRTLE,7,Y
Cerise,professor,SPECIES_CLEFFA,173,Y
Cerise,professor,SPECIES_PIPLUP,446,Y
Cerise,professor,SPECIES_ROTOM,532,Y
Cerise,professor,SPECIES_YAMPER,1127,Y
Cheren,gymleader,SPECIES_LICKITUNG,108,Y
Cheren,gymleader,SPECIES_PORYGON,137,Y
Cheren,gymleader,SPECIES_ZANGOOSE,380,Y
Cheren,gymleader,SPECIES_CASTFORM,385,Y
Cheren,gymleader,SPECIES_BUNEARY,480,Y
Cheren,gymleader,SPECIES_SNIVY,548,Y
Cheren,gymleader,SPECIES_TEPIG,551,Y
Cheren,gymleader,SPECIES_OSHAWOTT,554,Y
Cheren,gymleader,SPECIES_PATRAT,557,Y
Cheren,gymleader,SPECIES_LILLIPUP,559,Y
Cheren,gymleader,SPECIES_PURRLOIN,562,Y
Cheren,gymleader,SPECIES_PANSAGE,564,Y
Cheren,gymleader,SPECIES_PANSEAR,566,Y
Cheren,gymleader,SPECIES_PANPOUR,568,Y
Cheren,gymleader,SPECIES_PIDOVE,572,Y
Cheren,gymleader,SPECIES_ROGGENROLA,577,Y
Cheren,gymleader,SPECIES_BASCULIN_RED,603,Y
Cheren,gymleader,SPECIES_MINCCINO,625,Y
Cheren,gymleader,SPECIES_AXEW,663,Y
Cheren,gymleader,SPECIES_CUBCHOO,666,Y
Cheren,gymleader,SPECIES_PAWNIARD,677,Y
Cheren,gymleader,SPECIES_BOUFFALANT,679,Y
Cheren,gymleader,SPECIES_TORNADUS,694,Y
Chili,gymleader,SPECIES_GROWLITHE,58,Y
Chili,gymleader,SPECIES_MAGBY,240,Y
Chili,gymleader,SPECIES_NUMEL,339,Y
Chili,gymleader,SPECIES_TEPIG,551,Y
Chili,gymleader,SPECIES_LILLIPUP,559,Y
Chili,gymleader,SPECIES_PANSEAR,566,Y
Chili,gymleader,SPECIES_DARUMAKA,607,Y
